Exit #,Ticker,Qty,Day In,Price In,Amount In,Day Out,Price Out,Amount Out,Reason Why Closed,Gain $,Gain %
1,PLD,8,2020-05-07,6.7,5360.0,2020-07-17,0.0,0.0,Expiration (OTM/Max Profit),5360.0,11.49228130360206
2,PLD,8,2020-06-22,7.4,5920.0,2020-07-17,0.0,0.0,Expiration (OTM/Max Profit),5920.0,11.821086261980831
3,AMD,10,2020-03-10,4.7,4700.0,2020-10-16,0.0,0.0,Expiration (OTM/Max Profit),4700.0,15.015974440894569
4,AMD,10,2020-03-19,4.8,4800.0,2020-10-16,0.0,0.0,Expiration (OTM/Max Profit),4800.0,17.647058823529413
5,DLR,6,2020-08-06,10.8,6480.000000000001,2020-12-18,0.0,0.0,Expiration (OTM/Max Profit),6480.000000000001,11.464968152866243
6,AMD,10,2020-03-23,4.9,4900.0,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),4900.0,18.081180811808117
7,NFLX,1,2020-03-25,28.3,2830.0,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),2830.0,11.243543901470005
8,NOW,2,2020-03-31,23.3,4660.0,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),4660.0,11.27237542331882
9,TMUS,8,2020-04-02,6.05,4840.0,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),4840.0,67.59776536312849
10,CNC,10,2020-04-06,5.2,5200.0,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),5200.0,12.293144208037825
11,CNC,9,2020-04-21,5.6,5040.0,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),5040.0,11.940298507462686
12,PAYC,2,2020-04-29,24.1,4820.0,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),4820.0,12.302194997447677
13,PAYC,2,2020-04-30,23.8,4760.0,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),4760.0,12.781954887218044
14,PAYC,2,2020-05-05,21.6,4320.0,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),4320.0,12.10762331838565
15,CI,1,2020-05-15,28.0,2800.0,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),2800.0,28.865979381443296
16,CI,2,2020-05-18,21.5,4300.0,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),4300.0,21.82741116751269
17,CI,3,2020-05-19,18.6,5580.0,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),5580.0,19.294605809128633
18,GPN,2,2020-05-21,20.0,4000.0,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),4000.0,15.384615384615385
19,ALGN,2,2020-05-22,20.7,4140.0,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),4140.0,11.54489682097044
20,GPN,2,2020-06-11,21.0,4200.0,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),4200.0,15.671641791044777
21,BWA,10,2020-10-13,7.6,7600.0,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),7600.0,43.67816091954023
22,DIS,5,2020-10-15,12.95,6475.0,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),6475.0,24.87992315081652
23,BWA,12,2020-10-19,6.0,7200.0,2021-03-19,0.0,0.0,Expiration (OTM/Max Profit),7200.0,35.294117647058826
24,RCL,10,2020-10-20,7.05,7050.0,2021-06-18,0.0,0.0,Expiration (OTM/Max Profit),7050.0,18.57707509881423
25,SPXL,19,2020-12-21,4.6,8740.0,2021-07-16,0.0,0.0,Expiration (OTM/Max Profit),8740.0,11.386138613861387
26,SOXL,33,2021-03-11,3.8,12540.0,2021-08-20,0.0,0.0,Expiration (OTM/Max Profit),12540.0,19.124308002013084
27,SOXL,31,2021-03-12,4.0,12400.0,2021-08-20,0.0,0.0,Expiration (OTM/Max Profit),12400.0,20.693222969477496
28,SOXL,38,2021-03-15,3.4,12919.999999999998,2021-08-20,0.0,0.0,Expiration (OTM/Max Profit),12919.999999999998,17.3469387755102
29,RCL,16,2021-01-15,6.5,10400.0,2021-09-17,0.0,0.0,Expiration (OTM/Max Profit),10400.0,13.402061855670103
30,UAL,27,2021-01-19,3.8,10260.0,2021-09-17,0.0,0.0,Expiration (OTM/Max Profit),10260.0,12.179487179487179
31,RCL,17,2021-01-28,5.75,9775.0,2021-09-17,0.0,0.0,Expiration (OTM/Max Profit),9775.0,12.994350282485875
32,UAL,31,2021-02-01,3.2,9920.0,2021-09-17,0.0,0.0,Expiration (OTM/Max Profit),9920.0,11.940298507462686
33,NCLH,38,2021-02-02,2.67,10146.0,2021-09-17,0.0,0.0,Expiration (OTM/Max Profit),10146.0,18.004045853000676
34,SPXL,16,2021-02-22,7.2,11520.0,2021-10-15,0.0,0.0,Expiration (OTM/Max Profit),11520.0,15.062761506276152
35,SPXL,20,2021-02-23,5.7,11400.0,2021-10-15,0.0,0.0,Expiration (OTM/Max Profit),11400.0,12.866817155756207
36,ENPH,8,2021-03-25,16.2,12960.0,2021-11-19,0.0,0.0,Expiration (OTM/Max Profit),12960.0,16.39676113360324
37,ENPH,7,2021-03-26,18.05,12635.0,2021-11-19,0.0,0.0,Expiration (OTM/Max Profit),12635.0,17.704757233938203
38,ADI,6,2021-09-20,27.5,16500.0,2021-11-19,0.0,0.0,Expiration (OTM/Max Profit),16500.0,25.581395348837212
39,STE,4,2021-06-11,38.5,15400.0,2021-12-17,0.0,0.0,Expiration (OTM/Max Profit),15400.0,44.50867052023121
40,ENPH,7,2021-03-30,19.5,13650.0,2022-01-21,0.0,0.0,Expiration (OTM/Max Profit),13650.0,19.402985074626866
41,ETSY,8,2021-03-31,17.9,14319.999999999998,2022-01-21,148.85,4925.360000000004,Expiration (ITM/Assigned),9389.279999999993,8.560612691466076
42,ETSY,9,2021-04-05,16.35,14715.0,2022-01-21,148.85,1041.030000000005,Expiration (ITM/Assigned),13667.939999999995,11.362962962962959
43,BWA,15,2021-04-08,9.9,14850.0,2022-01-21,0.0,0.0,Expiration (OTM/Max Profit),14850.0,49.25373134328358
44,ETSY,9,2021-04-22,16.8,15120.000000000002,2022-01-21,148.85,14541.030000000006,Expiration (ITM/Assigned),572.9399999999957,0.4295546558704421
45,DVN,67,2021-07-15,2.67,17889.0,2022-01-21,0.0,0.0,Expiration (OTM/Max Profit),17889.0,21.654501216545015
46,ADI,7,2021-08-27,28.8,20160.0,2022-01-21,0.0,0.0,Expiration (OTM/Max Profit),20160.0,27.11864406779661
47,IAU,24,2021-11-05,11.6,27839.999999999996,2022-01-21,0.0,0.0,Expiration (OTM/Max Profit),27839.999999999996,66.66666666666666
48,SOXL,40,2021-08-23,4.8,19200.0,2022-02-18,0.0,0.0,Expiration (OTM/Max Profit),19200.0,16.43835616438356
49,SOXL,45,2021-08-24,4.3,19350.0,2022-02-18,0.0,0.0,Expiration (OTM/Max Profit),19350.0,14.982578397212542
50,SOXL,42,2021-08-25,4.7,19740.0,2022-02-18,0.0,0.0,Expiration (OTM/Max Profit),19740.0,15.51155115511551
51,ADI,8,2021-09-17,26.1,20880.0,2022-02-18,0.0,0.0,Expiration (OTM/Max Profit),20880.0,23.96694214876033
52,ADI,13,2021-11-19,20.3,26390.000000000004,2022-02-18,0.0,0.0,Expiration (OTM/Max Profit),26390.000000000004,16.959064327485383
53,SPXL,19,2021-09-23,11.1,21090.0,2022-06-17,58.5626,59743.78999999999,Expiration (ITM/Assigned),-38666.52,-25.793155893536117
54,SPXL,30,2021-10-15,8.8,26400.0,2022-06-17,58.5626,79332.29999999999,Expiration (ITM/Assigned),-52952.39999999999,-23.16377952755905
55,SPXL,25,2021-10-19,10.7,26750.0,2022-06-17,58.5626,91110.25,Expiration (ITM/Assigned),-64377.0,-30.54661921708185
56,PSX,14,2022-03-17,15.2,21280.0,2022-06-17,0.0,0.0,Expiration (OTM/Max Profit),21280.0,38.19095477386934
57,MRNA,8,2021-11-30,31.05,24840.0,2022-07-15,166.91,82477.36,Expiration (ITM/Assigned),-57642.72,-30.154174513496546
58,MTB,25,2022-04-08,9.1,22750.0,2022-08-19,0.0,0.0,Expiration (OTM/Max Profit),22750.0,45.7286432160804
59,MRNA,8,2021-11-26,30.25,24200.0,2022-09-16,137.74,97813.36,Expiration (ITM/Assigned),-73618.72,-40.05371055495103
60,MRNA,10,2021-11-29,27.55,27550.0,2022-09-16,137.74,132266.7,Expiration (ITM/Assigned),-104723.40000000001,-43.19381315735203
61,LYV,32,2021-12-20,8.7,27839.999999999996,2022-09-16,0.0,0.0,Expiration (OTM/Max Profit),27839.999999999996,11.402359108781125
