Exit #,Ticker,Qty,Day In,Price In,Amount In,Day Out,Price Out,Amount Out,Reason Why Closed,Gain $,Gain %
1,PLD,20,2020-05-07,6.7,13400.0,2020-07-17,0.0,0.0,Expiration (OTM/Max Profit),13400.0,11.49228130360206
2,PLD,18,2020-06-22,7.4,13320.000000000002,2020-07-17,0.0,0.0,Expiration (OTM/Max Profit),13320.000000000002,11.821086261980833
3,AMD,28,2020-03-10,4.7,13160.0,2020-10-16,0.0,0.0,Expiration (OTM/Max Profit),13160.0,15.015974440894569
4,AMD,27,2020-03-19,4.8,12960.0,2020-10-16,0.0,0.0,Expiration (OTM/Max Profit),12960.0,17.647058823529413
5,AMD,30,2020-03-25,4.35,13050.0,2020-10-16,0.0,0.0,Expiration (OTM/Max Profit),13050.0,13.32312404287902
6,DLR,13,2020-08-06,10.8,14040.0,2020-12-18,0.0,0.0,Expiration (OTM/Max Profit),14040.0,11.464968152866243
7,AMD,27,2020-03-23,4.9,13230.000000000002,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),13230.000000000002,18.08118081180812
8,AMD,29,2020-03-24,4.55,13194.999999999998,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),13194.999999999998,14.942528735632182
9,NOW,5,2020-03-31,23.3,11650.0,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),11650.0,11.27237542331882
10,TMUS,22,2020-04-02,6.05,13310.0,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),13310.0,67.59776536312849
11,CNC,25,2020-04-06,5.2,13000.0,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),13000.0,12.293144208037825
12,CNC,24,2020-04-21,5.6,13439.999999999998,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),13439.999999999998,11.940298507462686
13,PAYC,5,2020-04-29,24.1,12050.0,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),12050.0,12.302194997447677
14,PAYC,5,2020-04-30,23.8,11900.0,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),11900.0,12.781954887218044
15,PAYC,6,2020-05-05,21.6,12960.000000000002,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),12960.000000000002,12.107623318385652
16,CI,4,2020-05-15,28.0,11200.0,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),11200.0,28.865979381443296
17,CI,6,2020-05-18,21.5,12900.0,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),12900.0,21.82741116751269
18,CI,7,2020-05-19,18.6,13020.000000000002,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),13020.000000000002,19.294605809128633
19,GPN,6,2020-05-21,20.0,12000.0,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),12000.0,15.384615384615385
20,ALGN,6,2020-05-22,20.7,12419.999999999998,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),12419.999999999998,11.54489682097044
21,CI,10,2020-05-26,13.15,13150.0,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),13150.0,13.57769747031492
22,PAYC,5,2020-05-27,23.8,11900.0,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),11900.0,11.54219204655674
23,GPN,6,2020-06-11,21.0,12600.0,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),12600.0,15.671641791044777
24,BWA,19,2020-10-13,7.6,14440.0,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),14440.0,43.67816091954023
25,DIS,11,2020-10-15,12.95,14244.999999999998,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),14244.999999999998,24.87992315081652
26,PAYC,5,2020-06-26,24.1,12050.0,2021-02-19,0.0,0.0,Expiration (OTM/Max Profit),12050.0,11.162575266327003
27,BWA,24,2020-10-19,6.0,14400.0,2021-03-19,0.0,0.0,Expiration (OTM/Max Profit),14400.0,35.294117647058826
28,BWA,25,2020-11-12,5.8,14500.0,2021-03-19,0.0,0.0,Expiration (OTM/Max Profit),14500.0,35.80246913580247
29,SPXL,27,2020-10-27,5.15,13905.000000000002,2021-04-16,0.0,0.0,Expiration (OTM/Max Profit),13905.000000000002,14.77761836441894
30,RCL,20,2020-10-20,7.05,14100.0,2021-06-18,0.0,0.0,Expiration (OTM/Max Profit),14100.0,18.57707509881423
31,RCL,26,2020-10-21,5.4,14040.0,2021-06-18,0.0,0.0,Expiration (OTM/Max Profit),14040.0,15.606936416184972
32,RCL,39,2020-10-22,3.65,14235.0,2021-06-18,0.0,0.0,Expiration (OTM/Max Profit),14235.0,11.64274322169059
33,UAL,35,2020-10-23,4.15,14525.0,2021-06-18,0.0,0.0,Expiration (OTM/Max Profit),14525.0,16.054158607350097
34,UAL,35,2020-10-26,4.1,14350.0,2021-06-18,0.0,0.0,Expiration (OTM/Max Profit),14350.0,17.154811715481173
35,NCLH,56,2020-11-02,2.51,14056.0,2021-06-18,0.0,0.0,Expiration (OTM/Max Profit),14056.0,25.125125125125123
36,UAL,43,2020-11-03,3.25,13975.0,2021-06-18,0.0,0.0,Expiration (OTM/Max Profit),13975.0,14.942528735632186
37,UAL,54,2020-11-04,2.67,14418.0,2021-06-18,0.0,0.0,Expiration (OTM/Max Profit),14418.0,12.517580872011253
38,WYNN,18,2020-11-05,7.95,14310.0,2021-06-18,0.0,0.0,Expiration (OTM/Max Profit),14310.0,13.935144609991234
39,WYNN,21,2020-11-06,6.65,13965.0,2021-06-18,0.0,0.0,Expiration (OTM/Max Profit),13965.0,11.906893464637422
40,RCL,28,2020-11-09,5.25,14700.0,2021-06-18,0.0,0.0,Expiration (OTM/Max Profit),14700.0,11.731843575418994
41,UAL,51,2020-11-10,2.95,15045.000000000002,2021-06-18,0.0,0.0,Expiration (OTM/Max Profit),15045.000000000002,11.324376199616124
42,RCL,28,2020-12-21,5.55,15540.0,2021-06-18,0.0,0.0,Expiration (OTM/Max Profit),15540.0,11.223458038422649
43,SPXL,35,2020-11-20,4.3,15050.0,2021-07-16,0.0,0.0,Expiration (OTM/Max Profit),15050.0,12.044817927170868
44,SPXL,33,2020-12-03,4.6,15179.999999999998,2021-07-16,0.0,0.0,Expiration (OTM/Max Profit),15179.999999999998,11.386138613861386
45,SOXL,44,2021-03-11,3.8,16720.0,2021-08-20,0.0,0.0,Expiration (OTM/Max Profit),16720.0,19.124308002013084
46,SOXL,42,2021-03-12,4.0,16800.0,2021-08-20,0.0,0.0,Expiration (OTM/Max Profit),16800.0,20.693222969477496
47,SOXL,50,2021-03-15,3.4,17000.0,2021-08-20,0.0,0.0,Expiration (OTM/Max Profit),17000.0,17.346938775510203
48,SOXL,53,2021-03-16,3.2,16960.000000000004,2021-08-20,0.0,0.0,Expiration (OTM/Max Profit),16960.000000000004,15.384615384615389
49,NCLH,61,2021-02-02,2.67,16287.0,2021-09-17,0.0,0.0,Expiration (OTM/Max Profit),16287.0,18.004045853000676
50,SPXL,23,2021-02-22,7.2,16560.0,2021-10-15,0.0,0.0,Expiration (OTM/Max Profit),16560.0,15.062761506276152
51,SPXL,29,2021-02-23,5.7,16530.0,2021-10-15,0.0,0.0,Expiration (OTM/Max Profit),16530.0,12.866817155756207
52,ADI,6,2021-08-30,27.6,16560.000000000004,2021-10-15,0.0,0.0,Expiration (OTM/Max Profit),16560.000000000004,25.698324022346377
53,ADI,7,2021-09-01,26.0,18200.0,2021-10-15,0.0,0.0,Expiration (OTM/Max Profit),18200.0,25.0
54,SOXL,32,2021-03-18,5.3,16960.0,2021-11-19,0.0,0.0,Expiration (OTM/Max Profit),16960.0,28.342245989304814
55,ENPH,10,2021-03-25,16.2,16200.0,2021-11-19,0.0,0.0,Expiration (OTM/Max Profit),16200.0,16.39676113360324
56,ENPH,9,2021-03-26,18.05,16245.000000000002,2021-11-19,0.0,0.0,Expiration (OTM/Max Profit),16245.000000000002,17.704757233938206
57,ENPH,11,2021-04-01,15.8,17380.0,2021-11-19,0.0,0.0,Expiration (OTM/Max Profit),17380.0,14.46886446886447
58,STE,4,2021-06-11,38.5,15400.0,2021-12-17,0.0,0.0,Expiration (OTM/Max Profit),15400.0,44.50867052023121
59,ENPH,8,2021-03-30,19.5,15600.0,2022-01-21,0.0,0.0,Expiration (OTM/Max Profit),15600.0,19.402985074626866
60,ENPH,9,2021-03-31,18.55,16695.0,2022-01-21,0.0,0.0,Expiration (OTM/Max Profit),16695.0,17.426021606387977
61,ETSY,9,2021-04-05,18.15,16335.0,2022-01-21,148.85,5541.030000000005,Expiration (ITM/Assigned),10787.939999999993,8.758933138472775
62,BWA,17,2021-04-08,9.9,16830.0,2022-01-21,0.0,0.0,Expiration (OTM/Max Profit),16830.0,49.25373134328358
63,ETSY,10,2021-04-22,16.8,16800.0,2022-01-21,148.85,16156.700000000006,Expiration (ITM/Assigned),636.5999999999938,0.42955465587044117
64,DVN,68,2021-07-15,2.67,18156.0,2022-01-21,0.0,0.0,Expiration (OTM/Max Profit),18156.0,21.654501216545015
65,ADI,6,2021-08-27,28.8,17280.0,2022-01-21,0.0,0.0,Expiration (OTM/Max Profit),17280.0,27.11864406779661
66,ADI,7,2021-08-31,25.8,18060.0,2022-01-21,0.0,0.0,Expiration (OTM/Max Profit),18060.0,24.760076775431862
67,IAU,17,2021-11-05,11.6,19720.0,2022-01-21,0.0,0.0,Expiration (OTM/Max Profit),19720.0,66.66666666666666
