Exit #,Ticker,Qty,Day In,Price In,Amount In,Day Out,Price Out,Amount Out,Reason Why Closed,Gain $,Gain %
1,BIIB,1,2020-01-02,25.1,2510.0,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),2510.0,12.249877989263055
2,SPXL,9,2020-01-03,5.2,4680.0,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),4680.0,12.149532710280374
3,SPXL,10,2020-01-06,4.9,4900.0,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),4900.0,11.63895486935867
4,BIIB,2,2020-01-07,22.3,4460.0,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),4460.0,11.2797167425392
5,SPXL,9,2020-02-03,5.3,4770.0,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),4770.0,11.856823266219239
6,NOW,1,2020-03-31,23.3,2330.0,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),2330.0,11.27237542331882
7,TMUS,3,2020-04-02,6.05,1814.9999999999998,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),1814.9999999999998,67.59776536312849
8,CNC,4,2020-04-06,5.2,2080.0,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),2080.0,12.293144208037825
9,CNC,5,2020-04-21,5.6,2800.0,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),2800.0,11.940298507462686
10,PAYC,1,2020-04-29,24.1,2410.0,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),2410.0,12.302194997447677
11,PAYC,1,2020-04-30,23.8,2380.0,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),2380.0,12.781954887218044
12,PAYC,1,2020-05-05,21.6,2160.0,2021-01-15,0.0,0.0,Expiration (OTM/Max Profit),2160.0,12.10762331838565
13,BIIB,2,2020-01-31,22.5,4500.0,2021-03-19,0.0,0.0,Expiration (OTM/Max Profit),4500.0,11.39240506329114
14,AMD,9,2020-03-03,4.45,4005.0000000000005,2021-03-19,0.0,0.0,Expiration (OTM/Max Profit),4005.0000000000005,14.56628477905074
15,AMD,9,2020-03-02,5.2,4680.0,2021-06-18,0.0,0.0,Expiration (OTM/Max Profit),4680.0,17.449664429530202
16,AMD,12,2020-03-05,3.4,4079.9999999999995,2021-06-18,0.0,0.0,Expiration (OTM/Max Profit),4079.9999999999995,12.781954887218044
17,NFLX,1,2020-03-06,33.7,3370.0000000000005,2021-06-18,0.0,0.0,Expiration (OTM/Max Profit),3370.0000000000005,13.148653921186112
18,NFLX,1,2020-03-10,34.2,3420.0000000000005,2021-06-18,0.0,0.0,Expiration (OTM/Max Profit),3420.0000000000005,13.636363636363638
19,ILMN,1,2020-04-22,25.7,2570.0,2021-06-18,0.0,0.0,Expiration (OTM/Max Profit),2570.0,11.457868925546144
20,NFLX,1,2020-05-01,31.2,3120.0,2021-06-18,0.0,0.0,Expiration (OTM/Max Profit),3120.0,11.190817790530847
21,AAL,28,2021-01-29,2.54,7112.0,2021-12-17,0.0,0.0,Expiration (OTM/Max Profit),7112.0,26.849894291754755
22,STE,3,2021-07-02,35.2,10560.0,2021-12-17,0.0,0.0,Expiration (OTM/Max Profit),10560.0,39.198218262806236
23,RCL,9,2021-01-15,8.9,8010.000000000001,2022-01-21,0.0,0.0,Expiration (OTM/Max Profit),8010.000000000001,19.305856832971802
24,UAL,15,2021-01-19,5.4,8100.0,2022-01-21,0.0,0.0,Expiration (OTM/Max Profit),8100.0,18.243243243243242
25,RCL,12,2021-01-20,6.75,8100.0,2022-01-21,0.0,0.0,Expiration (OTM/Max Profit),8100.0,15.606936416184972
26,UAL,16,2021-01-21,4.95,7920.0,2022-01-21,0.0,0.0,Expiration (OTM/Max Profit),7920.0,17.647058823529413
27,SPXL,10,2021-01-22,7.6,7600.0,2022-01-21,0.0,0.0,Expiration (OTM/Max Profit),7600.0,17.92452830188679
28,BA,4,2021-01-25,17.9,7159.999999999999,2022-01-21,0.0,0.0,Expiration (OTM/Max Profit),7159.999999999999,12.168592794017673
29,WYNN,9,2021-01-26,8.0,7200.0,2022-01-21,0.0,0.0,Expiration (OTM/Max Profit),7200.0,11.510791366906476
30,TQQQ,17,2021-01-27,4.15,7055.000000000001,2022-01-21,0.0,0.0,Expiration (OTM/Max Profit),7055.000000000001,15.456238361266298
31,CCL,25,2021-01-28,3.05,7625.0,2022-01-21,0.0,0.0,Expiration (OTM/Max Profit),7625.0,25.523012552301257
32,UAL,16,2021-02-01,4.6,7359.999999999999,2022-01-21,0.0,0.0,Expiration (OTM/Max Profit),7359.999999999999,18.11023622047244
33,NCLH,21,2021-02-02,3.6,7560.000000000001,2022-01-21,0.0,0.0,Expiration (OTM/Max Profit),7560.000000000001,25.899280575539574
34,SOXL,17,2021-03-19,6.0,10200.0,2022-01-21,0.0,0.0,Expiration (OTM/Max Profit),10200.0,32.733224222585925
35,SOXL,20,2021-03-22,5.2,10400.0,2022-01-21,0.0,0.0,Expiration (OTM/Max Profit),10400.0,27.659574468085108
36,ENPH,8,2021-06-23,14.15,11320.0,2022-01-21,126.02,11189.360000000004,Expiration (ITM/Assigned),125.27999999999578,0.12443384982121154
37,BWA,15,2021-06-28,8.5,12750.0,2022-01-21,0.0,0.0,Expiration (OTM/Max Profit),12750.0,39.53488372093023
38,ENPH,7,2021-06-18,15.4,10780.0,2022-02-18,0.0,0.0,Expiration (OTM/Max Profit),10780.0,12.876254180602006
39,ENPH,9,2021-06-21,13.8,12420.0,2022-02-18,0.0,0.0,Expiration (OTM/Max Profit),12420.0,11.876075731497417
40,SOXL,25,2021-06-22,5.0,12500.0,2022-02-18,0.0,0.0,Expiration (OTM/Max Profit),12500.0,20.0
41,ETSY,6,2021-12-17,24.9,14939.999999999998,2023-01-20,131.82,28912.020000000004,Expiration (ITM/Assigned),-13976.040000000006,-15.018310767246945
42,ETSY,6,2021-12-20,23.95,14369.999999999998,2023-01-20,131.82,25912.020000000004,Expiration (ITM/Assigned),-11546.040000000006,-12.73975504799736
43,OXY,50,2022-01-21,2.76,13800.0,2023-01-20,0.0,0.0,Expiration (OTM/Max Profit),13800.0,12.410071942446043
44,EXPE,9,2022-01-25,15.05,13545.000000000002,2023-01-20,110.5931,26472.239999999994,Expiration (ITM/Assigned),-12933.269999999993,-11.500840336134448
45,LYV,14,2022-01-28,9.0,12600.0,2023-01-20,75.11,13855.38,Expiration (ITM/Assigned),-1264.7599999999993,-1.1886842105263151
46,SPXL,9,2022-02-02,14.7,13229.999999999998,2023-01-20,66.1937,25931.69999999999,Expiration (ITM/Assigned),-12707.729999999992,-17.583686176836853
47,AMD,12,2022-02-07,11.55,13860.000000000002,2023-01-20,70.07,35924.04000000001,Expiration (ITM/Assigned),-22072.08000000001,-20.795251554550603
48,FCX,46,2022-02-08,3.25,14950.0,2023-01-20,0.0,0.0,Expiration (OTM/Max Profit),14950.0,11.304347826086957
49,SOXL,15,2022-02-09,10.15,15225.0,2023-01-20,12.5152,41237.25,Expiration (ITM/Assigned),-26022.3,-58.1179229480737
50,ALB,8,2022-02-10,19.2,15360.0,2023-01-20,0.0,0.0,Expiration (OTM/Max Profit),15360.0,11.241217798594848
51,ALB,7,2022-02-15,20.8,14560.0,2023-01-20,0.0,0.0,Expiration (OTM/Max Profit),14560.0,11.940298507462686
52,RCL,21,2022-02-16,7.1,14910.0,2023-01-20,62.1134,16575.93,Expiration (ITM/Assigned),-1680.0000000000002,-1.2718600953895074
53,IAU,13,2022-02-25,10.0,13000.0,2023-01-20,0.0,0.0,Expiration (OTM/Max Profit),13000.0,52.63157894736842
54,IAU,14,2022-02-28,9.6,13440.0,2023-01-20,0.0,0.0,Expiration (OTM/Max Profit),13440.0,52.17391304347826
55,AMD,11,2022-02-03,12.25,13475.0,2023-04-21,88.43,7234.369999999993,Expiration (ITM/Assigned),6233.2600000000075,6.847854984894268
56,AMD,10,2022-02-04,13.05,13050.0,2023-04-21,88.43,11576.699999999993,Expiration (ITM/Assigned),1466.6000000000065,1.6867165037377878
57,MU,19,2022-02-01,7.75,14725.0,2023-06-16,0.0,0.0,Expiration (OTM/Max Profit),14725.0,13.537117903930133
58,MU,17,2022-02-11,7.85,13344.999999999998,2023-06-16,66.8519,5363.159999999999,Expiration (ITM/Assigned),7970.449999999999,7.543845534995977
59,MU,18,2022-02-18,7.0,12600.0,2023-06-16,66.8519,1178.639999999999,Expiration (ITM/Assigned),11409.300000000001,10.476859504132232
60,LYV,12,2022-02-22,9.9,11880.000000000002,2023-06-16,0.0,0.0,Expiration (OTM/Max Profit),11880.000000000002,12.359550561797755
61,CZR,32,2023-01-24,4.35,13919.999999999998,2024-01-19,0.0,0.0,Expiration (OTM/Max Profit),13919.999999999998,12.20196353436185
62,ON,22,2023-01-25,6.3,13860.0,2024-01-19,0.0,0.0,Expiration (OTM/Max Profit),13860.0,11.731843575418994
63,ETSY,14,2023-01-26,10.3,14420.000000000002,2024-01-19,70.66,41085.380000000005,Expiration (ITM/Assigned),-26674.760000000006,-21.241248606466
64,SPXL,18,2023-01-27,8.0,14400.0,2024-01-19,0.0,0.0,Expiration (OTM/Max Profit),14400.0,15.384615384615385
65,SPXL,20,2023-01-30,6.9,13800.0,2024-01-19,0.0,0.0,Expiration (OTM/Max Profit),13800.0,14.345114345114347
66,SPXL,25,2023-01-31,5.4,13500.0,2024-01-19,0.0,0.0,Expiration (OTM/Max Profit),13500.0,12.10762331838565
67,MRNA,8,2023-02-07,17.65,14119.999999999998,2024-01-19,99.7,32245.359999999997,Expiration (ITM/Assigned),-18130.72,-18.523416428279525
68,QLD,38,2023-02-08,3.8,14440.0,2024-01-19,0.0,0.0,Expiration (OTM/Max Profit),14440.0,11.44578313253012
69,QLD,39,2023-02-14,3.9,15210.0,2024-01-19,0.0,0.0,Expiration (OTM/Max Profit),15210.0,11.436950146627565
70,CZR,36,2023-02-15,4.2,15120.000000000002,2024-01-19,0.0,0.0,Expiration (OTM/Max Profit),15120.000000000002,11.111111111111112
71,SOXL,50,2023-02-16,2.77,13850.0,2024-01-19,0.0,0.0,Expiration (OTM/Max Profit),13850.0,30.01083423618635
72,MRNA,7,2023-01-20,17.85,12495.000000000002,2024-04-19,101.41,30517.69,Expiration (ITM/Assigned),-18027.379999999994,-20.254345261502156
73,MRNA,10,2023-01-23,14.1,14100.0,2024-04-19,101.41,38596.7,Expiration (ITM/Assigned),-24503.399999999998,-19.462589356632247
74,AMD,20,2023-02-13,7.1,14200.0,2024-06-21,0.0,0.0,Expiration (OTM/Max Profit),14200.0,12.26252158894646
75,RCL,20,2023-04-21,6.85,13700.0,2024-06-21,0.0,0.0,Expiration (OTM/Max Profit),13700.0,15.005476451259584
76,RCL,22,2023-04-24,6.15,13530.000000000002,2024-06-21,0.0,0.0,Expiration (OTM/Max Profit),13530.000000000002,14.02508551881414
77,GNRC,17,2023-06-16,12.2,20739.999999999996,2024-06-21,0.0,0.0,Expiration (OTM/Max Profit),20739.999999999996,13.89521640091116
78,FSLR,11,2023-06-22,18.65,20514.999999999996,2024-09-20,0.0,0.0,Expiration (OTM/Max Profit),20514.999999999996,13.194198797311635
79,FSLR,12,2023-06-23,16.75,20100.0,2024-09-20,0.0,0.0,Expiration (OTM/Max Profit),20100.0,12.115732368896925
80,FSLR,12,2023-07-10,18.65,22380.0,2024-09-20,0.0,0.0,Expiration (OTM/Max Profit),22380.0,12.743423300307482
81,TQQQ,55,2024-01-19,3.85,21175.0,2025-01-17,0.0,0.0,Expiration (OTM/Max Profit),21175.0,11.613876319758672
82,TQQQ,50,2024-02-02,4.05,20250.0,2025-01-17,0.0,0.0,Expiration (OTM/Max Profit),20250.0,11.929307805596466
83,TQQQ,54,2024-02-12,3.95,21330.0,2025-01-17,0.0,0.0,Expiration (OTM/Max Profit),21330.0,11.269614835948644
84,SOXL,57,2024-04-12,4.5,25650.0,2025-01-17,0.0,0.0,Expiration (OTM/Max Profit),25650.0,20.0
85,SOXL,43,2024-04-24,5.8,24940.0,2025-01-17,0.0,0.0,Expiration (OTM/Max Profit),24940.0,26.126126126126124
