Month,Total Value End,$ Gain,% Gain,% SPY Gain
2020-01,100000.0,0.0,0.0,-0.9665126703655269
2020-02,100000.0,0.0,0.0,-7.916594519717757
2020-03,105112.89000000001,5112.890000000014,5.1128900000000135,-12.487109047905854
2020-04,112552.12000000002,7439.2300000000105,7.077371766678672,12.69835607654073
2020-05,120998.72000000003,8446.600000000006,7.504612085494261,4.764548671584334
2020-06,126507.02000000005,5508.3000000000175,4.552362206806829,1.7733923611049418
2020-07,142409.02000000005,15902.0,12.570053424703225,5.889237326582997
2020-08,147256.00000000006,4846.9800000000105,3.4035624990608104,6.979660481397509
2020-09,145038.00000000006,-2218.0,-1.5062204596077573,-3.7443548566115203
2020-10,133204.21000000002,-11833.790000000037,-8.159096236848297,-2.493363330736753
2020-11,165224.21000000002,32020.0,24.03827927060263,10.877720415583191
2020-12,189784.48,24560.26999999999,14.864813092463864,3.704807569243318
2021-01,198845.28,9060.799999999988,4.7742576210657415,-1.0190281436889714
2021-02,238810.93,39965.649999999994,20.098867823264396,2.7805389404754965
2021-03,292919.49,54108.56,22.6574889181161,4.539909723559998
2021-04,312530.37999999995,19610.889999999956,6.694976151979493,5.29106185754491
2021-05,320839.37999999995,8309.0,2.6586215394484216,0.6566058703937561
2021-06,377549.69999999995,56710.32000000001,17.675610768229266,2.2427663327791114
2021-07,368848.80999999994,-8700.890000000014,-2.304568113813894,2.441243978882124
2021-08,404093.0299999999,35244.21999999997,9.555194172918704,2.975966779635586
2021-09,390942.9199999999,-13150.109999999986,-3.254228364196232,-4.660542973325088
2021-10,533589.07,142646.15000000002,36.48771795125489,7.016361601751031
2021-11,511458.8600000001,-22130.209999999846,-4.147425658475322,-0.8035068145835433
2021-12,592389.4200000002,80930.56000000006,15.823474052243428,4.62481471299554
2022-01,418455.0000000001,-173934.42000000004,-29.361500075406475,-5.274150219206996
2022-02,401207.0000000001,-17248.0,-4.121829109462187,-2.9516950417267873
2022-03,515596.39000000013,114389.39000000001,28.51131460816984,3.759053991288086
2022-04,307969.8100000003,-207626.57999999984,-40.26920747059532,-8.776906744071667
2022-05,492799.8100000003,184830.0,60.015622959925786,0.22571653522822643
2022-06,244185.02000000025,-248614.79000000004,-50.44944923984445,-8.24603016466664
2022-07,456571.66000000027,212386.64,86.97775154266212,9.208734173809852
2022-08,441370.39000000036,-15201.269999999902,-3.3294379243774994,-4.0802115352968515
2022-09,417265.00000000023,-24105.39000000013,-5.461487799396808,-9.244584754867734
2022-10,470867.9300000003,53602.93000000005,12.84625597641787,8.127567934671642
2022-11,645846.4600000003,174978.53000000003,37.16085102674118,5.55914239301023
2022-12,583553.2700000003,-62293.19000000006,-9.645201121021865,-5.7628115015974535
2023-01,648332.2700000003,64779.0,11.10078605163158,6.288720189420771
2023-02,623603.4500000003,-24728.81999999995,-3.814220137461296,-2.514253372824038
2023-03,679189.2700000003,55585.81999999995,8.913648569455464,3.7077861126394662
2023-04,649008.8200000003,-30180.449999999953,-4.443599351915548,1.597469167850596
2023-05,777216.7700000003,128207.94999999995,19.754423368237106,0.46162915691689843
2023-06,861071.7700000003,83855.0,10.789139302797079,6.479971888460878
2023-07,865335.2900000003,4263.520000000019,0.4951410728515716,3.273343251429317
2023-08,850808.9200000002,-14526.370000000112,-1.678698438382203,-1.6252061556839115
2023-09,760200.71,-90608.2100000002,-10.649654448850885,-4.74343890233897
2023-10,657834.71,-102366.0,-13.465654353308878,-2.17088414400024
2023-11,843047.51,185212.80000000005,28.154914476920816,9.134382939287523
2023-12,970238.51,127191.0,15.087050076216938,4.565547850232998
2024-01,887324.4299999999,-82914.08000000007,-8.545742015538021,1.5926437279711436
2024-02,938884.4299999999,51560.0,5.810726973898375,5.218682709330125
2024-03,862660.4299999999,-76224.0,-8.118571100385594,3.270198866732721
2024-04,892381.2699999998,29720.83999999985,3.4452536556011792,-4.0319532602564045
2024-05,940032.9299999999,47651.66000000015,5.339831930806903,5.057969661799677
2024-06,978913.78,38880.85000000009,4.13611574224321,3.528001423020455
2024-07,1112930.13,134016.34999999986,13.690311929207887,1.2109009252873282
2024-08,1005782.0,-107148.12999999989,-9.62757024108961,2.3365721108775883
2024-09,1010237.2,4455.199999999953,0.4429588121481547,2.1004620984196087
2024-10,728041.6399999999,-282195.56000000006,-27.933594209359946,-0.8923589482777494
2024-11,669443.6399999999,-58598.0,-8.048715455341265,5.963352721864235
2024-12,623117.6399999999,-46326.0,-6.920074705616742,-2.4060304461942295
2025-01,570882.8699999999,-52234.77000000002,-8.382810347015699,2.685661400532302
2025-02,294440.54000000004,-276442.32999999984,-48.423651247409104,-1.269492995637711
2025-03,210102.06000000006,-84338.47999999998,-28.643637183928533,-5.571910438172778
2025-04,284982.3700000001,74880.31000000006,35.63996945103729,-0.8670274966235181
2025-05,659035.3700000001,374053.0,131.25478604167685,6.284486398412126
2025-06,761743.3500000001,102707.97999999998,15.584592978674264,5.138628188414196
2025-07,888679.53,126936.17999999993,16.663903925121225,2.303154890643677
2025-08,906605.6799999999,17926.149999999907,2.0171669758163446,2.051948773068202
2025-09,1013429.6799999999,106824.0,11.782851393562856,3.562037886002467
2025-10,1034279.9699999997,20850.289999999804,2.057398792583202,2.38374013029512
